#Material, Thickness (Ang), Material_id
Al4Sb4, 3.9070999999999976 , AlSb_2dm-2566
C4O8Pb2, 5.853300000000002 , Pb(CO2)2_2dm-3468
Al2H6O6, 3.1586000000000034 , Al(HO)3_2dm-4905
F6Li2O3Ta2, 6.735899999999998 , Li2Ta2(OF2)3_2dm-5293
C4Ir2, 4.357999999999998 , IrC2_2dm-3031
Hg12S12, 4.377999999999997 , HgS_2dm-2300
I10Pr4, 7.985299999999998 , Pr2I5_2dm-3817
Cr3Li2O6, 4.381600000000002 , Li2Cr3O6_2dm-5021
O8SnW2, 7.258299999999997 , Sn(WO4)2_2dm-4299
Cu4O12Se4, 4.9109000000000025 , CuSeO3_2dm-5770
In2Te2, 6.1183 , InTe_2dm-145
C6H2, 3.4538000000000046 , HC3_2dm-1376
Bi2La2O2S4, 8.196000000000002 , LaBiS2O_2dm-3177
I6Pb5S2, 8.006400000000003 , Pb5(SI3)2_2dm-3646
Ba2, 3.8190999999999997 , Ba_2dm-5961
P4Te6, 7.5255999999999945 , Te3P2_2dm-798
Ca4H12O16P4, 3.828100000000002 , CaPH3O4_2dm-3677
Si4Sr8, 3.8080000000000016 , Sr2Si_2dm-6012
Cu2O6Si2, 4.901500000000005 , CuSiO3_2dm-5511
Cl2Yb, 6.1157 , YbCl2_2dm-317
I6Mn2, 5.817199999999998 , MnI3_2dm-1696
As4Mn2, 4.025399999999996 , MnAs2_2dm-6321
I8Sb2, 6.729299999999998 , SbI4_2dm-1257
Pb12Pd4, 5.8377 , PdPb3_2dm-1944
Be10Ir2, 4.356499999999996 , Be5Ir_2dm-1534
AsHg, 4.498299999999997 , HgAs_2dm-6279
C2Te2, 5.661200000000005 , TeC_2dm-95
H4O12Te4, 5.553200000000003 , TeHO3_2dm-5234
N2Te3, 7.321799999999996 , Te3N2_2dm-1233
Br4Zr, 6.780299999999999 , ZrBr4_2dm-2118
O12Te4V, 8.4639 , V(TeO3)4_2dm-5373
Nb4Se12, 6.433400000000003 , NbSe3_2dm-1414
Ga6Te6, 5.884999999999999 , GaTe_2dm-5155
Ni3O12P3, 6.143599999999997 , NiPO4_2dm-5899
Pb4Se4, 5.949999999999999 , PbSe_2dm-2221
Ag2Ge2O6, 5.464000000000001 , AgGeO3_2dm-4264
Co2FeO6, 6.288999999999998 , Fe(CoO3)2_2dm-4757
BrK2, 3.892599999999998 , K2Br_2dm-2243
Ga2P6, 6.331999999999993 , GaP3_2dm-1857
I8Ir2, 7.258299999999999 , IrI4_2dm-1172
F4Si, 5.720600000000001 , SiF4_2dm-1452
Be2I4, 5.042200000000002 , BeI2_2dm-2695
Br6Tl2, 6.8313000000000015 , TlBr3_2dm-1761
S2Ta, 6.399999999999988 , TaS2_2dm-2179
Pt2Se4, 5.89999999999999 , PtSe2_2dm-523
As20In4, 6.789399999999996 , InAs5_2dm-671
LaSn3, 4.793299999999999 , LaSn3_2dm-1720
Cl8Co2, 6.24 , CoCl4_2dm-1803
Br2Cu2, 4.253400000000004 , CuBr_2dm-1454
In18S9, 4.290199999999996 , In2S_2dm-1845
BiCd, 8.252 , CdBi_2dm-6221
F24W12, 6.1419 , WF2_2dm-2916
Cl10V2, 6.371499999999997 , VCl5_2dm-2476
F10Nd6O4, 6.823399999999998 , Nd3O2F5_2dm-5626
As4O8, 5.409300000000003 , AsO2_2dm-661
Ag2Bi6, 10.806599999999998 , AgBi3_2dm-2924
Cu4Se2, 3.9935999999999967 , Cu2Se_2dm-1061
S2, 6.019999999999994 , S_2dm-5939
BiClTe, 10.575499999999995 , BiTeCl_2dm-3732
Ge4O10, 5.108600000000001 , Ge2O5_2dm-6444
Ba3Ca3, 3.946299999999998 , BaCa_2dm-6087
F4O10, 5.576499999999999 , O5F2_2dm-1307
Cl7Nb3Te, 7.894599999999998 , Nb3TeCl7_2dm-3785
B2C8CuN8, 4.8002999999999965 , CuB2(CN)8_2dm-5436
STl, 6.065199999999996 , TlS_2dm-2088
C8O12, 5.154300000000001 , C2O3_2dm-1169
Ba2Sb, 4.634899999999998 , Ba2Sb_2dm-2492
Cd3Sb, 4.522699999999995 , Cd3Sb_2dm-2518
Cl2Co, 5.8542000000000005 , CoCl2_2dm-3527
In2N2, 3.7540999999999967 , InN_2dm-1839
Pd4Si12, 2.907499999999999 , Si3Pd_2dm-1932
P8S26V4, 7.848299999999995 , V2P4S13_2dm-5453
Mo3O8, 7.185700000000001 , Mo3O8_2dm-4463
FLiMn5O5, 4.487200000000001 , LiMn5O5F_2dm-5586
Al4C5Hf2, 5.1207 , Hf2Al4C5_2dm-4768
C5Ce, 3.9860000000000007 , CeC5_2dm-1889
Hf2I2N2, 5.7507 , HfIN_2dm-5111
MoS2, 6.5 , MoS2_2dm-3150
Ca2O8Sb4, 6.066300000000002 , Ca(SbO2)2_2dm-5255
S9Tl18, 4.858799999999998 , Tl2S_2dm-5781
MnO8P2, 6.5277999999999965 , Mn(PO4)2_2dm-4122
Te2, 6.347500000000001 , Te_2dm-5305
GaS, 5.368499999999999 , GaS_2dm-2308
Te6V4, 6.912299999999992 , V2Te3_2dm-1357
I8Ru2, 6.616599999999997 , RuI4_2dm-1668
HfSe2, 6.799999999999996 , HfSe2_2dm-4424
FRb2, 3.886400000000001 , Rb2F_2dm-2061
I10La2Sr2, 7.993899999999997 , SrLaI5_2dm-4161
Ca2Cl2CuO2, 5.608599999999999 , Ca2Cu(ClO)2_2dm-3630
Bi4Mo2, 8.6948 , Bi2Mo_2dm-2885
I8Mo2, 7.2703999999999995 , MoI4_2dm-1902
AgLi2Sn2, 4.538699999999999 , Li2AgSn2_2dm-3379
Cu4Te4, 3.8576999999999986 , CuTe_2dm-840
Br8Pt4, 6.081799999999995 , PtBr2_2dm-248
Br2Mo, 6.586700000000002 , MoBr2_2dm-41
PbTe2, 6.924900000000004 , Te2Pb_2dm-110
Ir2Sn8, 5.781100000000001 , Sn4Ir_2dm-3309
F8O4Ti4, 5.7783000000000015 , TiOF2_2dm-4129
Se2Ti2, 4.384199999999998 , TiSe_2dm-3004
Mn2O8Te3, 7.328600000000002 , Mn2Te3O8_2dm-3537
HgS, 4.377999999999997 , HgS_2dm-6365
Ag4Te2, 4.8302 , Ag2Te_2dm-2347
B2F6, 5.831099999999997 , BF3_2dm-2176
Ho4O26Te10, 8.7108 , Ho2Te5O13_2dm-5619
Cd3Cu, 4.485499999999996 , Cd3Cu_2dm-2036
S24W8, 6.192099999999999 , WS3_2dm-1390
Cu2P6Si4, 4.461000000000002 , CuSi2P3_2dm-5831
S2Tl2, 6.065199999999996 , TlS_2dm-1404
As20Ga4, 6.637599999999996 , GaAs5_2dm-786
Ag4I4O12, 5.5689 , AgIO3_2dm-3842
I10La4, 7.993899999999997 , La2I5_2dm-5545
IIn, 4.8507000000000025 , InI_2dm-116
MgO8Sb4, 7.242800000000001 , Mg(SbO2)4_2dm-5429
As2Cl8, 6.3372 , AsCl4_2dm-2553
Ge5Y, 3.018399999999997 , YGe5_2dm-6363
Br12Sb4, 6.662700000000001 , SbBr3_2dm-1994
Ba2Sr2, 4.164799999999998 , BaSr_2dm-6208
As4O12S2, 6.148800000000001 , As2SO6_2dm-3726
Cl4K2Mg, 6.160599999999997 , K2MgCl4_2dm-3593
AuI, 4.847400000000004 , AuI_2dm-242
Br10Re4, 9.061900000000001 , Re2Br5_2dm-1058
BiCa2, 7.6759 , Ca2Bi_2dm-677
P3Pt6Sm2, 6.403999999999996 , Sm2(PPt2)3_2dm-4293
Cl4Re6Se8Tl2, 8.887400000000003 , TlRe3(Se2Cl)2_2dm-3546
As4Cr2, 4.088099999999999 , CrAs2_2dm-2353
Pb3Y, 5.895600000000001 , YPb3_2dm-120
H12O16P4Sr4, 3.9993000000000007 , SrPH3O4_2dm-5695
Bi2S2, 11.054 , BiS_2dm-3012
BaPb2, 5.098099999999998 , BaPb2_2dm-1826
Bi2CO5, 9.3561 , Bi2CO5_2dm-5508
F6LiV, 6.195199999999997 , LiVF6_2dm-5205
Al3Co, 3.859699999999998 , Al3Co_2dm-1564
Br2Hf, 6.599399999999996 , HfBr2_2dm-331
I8Zn4, 5.120700000000003 , ZnI2_2dm-1848
Au4Te2, 5.198199999999999 , TeAu2_2dm-839
Cl2Y2, 5.533399999999997 , YCl_2dm-4695
Br14Tc4, 8.6367 , Tc2Br7_2dm-1328
Al2Sb6, 6.104699999999998 , AlSb3_2dm-26
S4Sb4, 6.138299999999998 , SbS_2dm-6150
C4Se4, 5.698400000000001 , CSe_2dm-2290
Si4Te4, 4.8500000000000085 , SiTe_2dm-6053
F4Li2O4V2, 5.546499999999997 , LiV(OF)2_2dm-3867
Al3Fe2, 5.265499999999996 , Al3Fe2_2dm-6168
F6Mg3, 5.395399999999999 , MgF2_2dm-2662
BiCl5, 8.153600000000003 , BiCl5_2dm-2820
B2CaH2, 3.4709999999999996 , Ca(BH)2_2dm-3285
Pb4U2, 5.511099999999998 , UPb2_2dm-3431
Mn3O8Sn, 6.2955999999999985 , Mn3SnO8_2dm-5048
Ni4Sn12, 4.662099999999998 , NiSn3_2dm-1972
F2Zn, 5.595400000000001 , ZnF2_2dm-595
Hg3O6Se, 8.339999999999998 , Hg3SeO6_2dm-5414
Bi2Pb2Se5, 10.422500000000005 , Bi2Pb2Se5_2dm-4142
CoMnO4, 5.584199999999999 , MnCoO4_2dm-4116
Br4H16Na4O8, 3.715300000000001 , NaH4BrO2_2dm-5726
Li2Mn2O4, 3.3409000000000026 , LiMnO2_2dm-5590
Ir2Ta2Te8, 9.06989999999999 , TaTe4Ir_2dm-3707
Br4O22Te12, 8.731800000000002 , Te6Br2O11_2dm-3963
Be2Cd, 3.766699999999996 , Be2Cd_2dm-1312
Fe4Rb2Te6, 6.569099999999999 , RbFe2Te3_2dm-3621
PTe2Zr2, 5.774799999999996 , Zr2Te2P_2dm-3414
O5W2Zn2, 5.960199999999997 , Zn2W2O5_2dm-4020
BeI2, 5.042200000000002 , BeI2_2dm-760
Co3O8Ti, 6.160999999999999 , TiCo3O8_2dm-3948
IrNb3S8, 8.009899999999998 , Nb3IrS8_2dm-4569
PtSe2, 5.89999999999999 , PtSe2_2dm-3287
Ge2Hf2Te8, 8.666899999999991 , HfGeTe4_2dm-4668
AgCl2, 6.0031000000000025 , AgCl2_2dm-2457
GaNi2, 3.9520999999999957 , GaNi2_2dm-5997
Hg2P2S7, 8.236799999999999 , Hg2P2S7_2dm-3704
O4Si4, 4.652500000000004 , SiO_2dm-404
C4Sr8, 3.9533 , Sr2C_2dm-6070
Cr2Se4, 6.600000000000012 , CrSe2_2dm-635
Bi2SeTe2, 13.349499999999999 , Bi2Te2Se_2dm-4819
OsSn2, 4.815599999999998 , Sn2Os_2dm-559
KSn2, 4.2723999999999975 , KSn2_2dm-6166
Al2O3, 5.2389 , Al2O3_2dm-54
HHg, 4.175899999999998 , HgH_2dm-2018
Ca2O18Ti8, 6.081499999999998 , CaTi4O9_2dm-4119
I12Pb8S8Sb4, 8.037100000000002 , SbPb2S2I3_2dm-5015
Cr2P4, 3.960599999999998 , CrP2_2dm-2363
ScTe3, 7.189599999999993 , ScTe3_2dm-6323
Ba2Co3O7, 5.736999999999998 , Ba2Co3O7_2dm-4840
Cu2I4, 4.573400000000004 , CuI2_2dm-1110
CoMg2, 2.766000000000003 , Mg2Co_2dm-1396
Sb6Si6, 4.900200000000005 , SiSb_2dm-1460
Cd2H4O8Se2, 5.4815 , CdH2SeO4_2dm-5344
N2Ti, 3.5332 , TiN2_2dm-2364
Mo3Se4, 6.9765 , Mo3Se4_2dm-709
Ca2F12Sn4, 6.622199999999999 , CaSn2F6_2dm-4932
Br2Hg, 6.269100000000001 , HgBr2_2dm-3388
InS, 5.627099999999998 , InS_2dm-2185
Cu4S8Ta2Tl2, 5.753000000000002 , TaTl(CuS2)2_2dm-5058
F8Fe3Li2, 6.864099999999997 , Li2Fe3F8_2dm-5839
Mg5Ti5, 2.4966000000000044 , MgTi_2dm-3233
Be4Ce2, 3.9681999999999986 , CeBe2_2dm-6248
Cu4O4, 3.1761000000000035 , CuO_2dm-4904
As4Ge3, 6.215299999999998 , Ge3As4_2dm-2023
Sc2Se6, 6.321599999999998 , ScSe3_2dm-590
Hf2Si4, 3.444299999999999 , HfSi2_2dm-1155
Ba2N, 4.332699999999997 , Ba2N_2dm-3665
Ge2Nd, 2.985699999999997 , NdGe2_2dm-3714
N2O3, 5.4095 , N2O3_2dm-1886
Ge2I8, 6.368599999999999 , GeI4_2dm-2714
Nb4Si2Te8, 8.249999999999996 , Nb2SiTe4_2dm-5743
Cl3GeIn, 6.2446 , InGeCl3_2dm-4776
PdS, 3.9196999999999975 , PdS_2dm-446
I6Y2, 5.862899999999999 , YI3_2dm-1671
Al2S4Zn, 6.061399999999995 , Al2ZnS4_2dm-3212
Hf2Te2, 5.191000000000002 , HfTe_2dm-2232
As6Pb2, 6.461300000000001 , As3Pb_2dm-990
As4Ge4Se4, 5.707700000000002 , GeAsSe_2dm-3639
Cl2Zr, 6.1086999999999945 , ZrCl2_2dm-3706
Ca2CoO3, 3.6441000000000003 , Ca2CoO3_2dm-4417
C2H2K2O6, 4.235000000000002 , KHCO3_2dm-5513
EuPb2, 5.173899999999999 , EuPb2_2dm-1244
Br8Ni4, 6.181799999999999 , NiBr2_2dm-301
Ba2Cu2O8Tl2, 5.7242 , BaTlCuO4_2dm-5547
In4Sb4, 4.122199999999996 , InSb_2dm-2631
Ag2O4, 5.482300000000002 , AgO2_2dm-2081
O8Pb3V2, 8.292400000000004 , V2Pb3O8_2dm-3693
Ga4O6, 5.4583 , Ga2O3_2dm-2943
Bi4Ge3, 12.8608 , Ge3Bi4_2dm-2139
Al6Te6, 5.8805 , AlTe_2dm-1642
Br5Ta, 7.409399999999998 , TaBr5_2dm-2735
Ga2S5Zn2, 5.896099999999999 , Zn2Ga2S5_2dm-3075
F10Fe4Li2, 6.9359999999999955 , LiFe2F5_2dm-5627
Co2CrO6, 5.903200000000002 , Cr(CoO3)2_2dm-4602
Al3Ru2, 4.427399999999998 , Al3Ru2_2dm-3023
Cu2I2, 2.800000000000005 , CuI_2dm-4972
F2N2Ti2, 5.6782 , TiNF_2dm-3400
Ca2O10Ti4, 5.474999999999999 , CaTi2O5_2dm-4730
Ag4S2, 4.224599999999998 , Ag2S_2dm-4305
H2O2Zn, 3.264300000000003 , Zn(HO)2_2dm-3835
Ga4I4, 4.676600000000002 , GaI_2dm-1183
Bi4S6, 11.760500000000002 , Bi2S3_2dm-5745
ReTe2, 7.373499999999994 , ReTe2_2dm-607
I2Mo, 6.597699999999999 , MoI2_2dm-475
F8Mn4O2, 5.9034999999999975 , Mn2OF4_2dm-5749
Be8Ge4, 2.6371999999999995 , Be2Ge_2dm-6357
Ba2Cr3O8, 6.207800000000002 , Ba2Cr3O8_2dm-4370
CuLiS2, 3.820499999999998 , LiCuS2_2dm-5363
N8Sn4, 5.855699999999998 , SnN2_2dm-601
Ga12Se18, 6.3887 , Ga2Se3_2dm-2658
Cr2O16Ta4, 6.643699999999998 , Ta2CrO8_2dm-4184
As6Sn6, 5.1925 , SnAs_2dm-330
In2Os, 4.826799999999997 , In2Os_2dm-409
Au2Cu2Sn2, 4.602099999999998 , CuSnAu_2dm-3295
Cl8NSc5, 6.777699999999995 , Sc5NCl8_2dm-5179
F5VY, 6.376799999999996 , YVF5_2dm-5412
I4Sr2, 5.425300000000001 , SrI2_2dm-2528
Ag2F2O4, 5.367700000000003 , AgO2F_2dm-4176
Sn4Ti2, 4.308799999999998 , TiSn2_2dm-967
CTe2, 6.956299999999998 , Te2C_2dm-6358
Cr2F10, 6.197800000000002 , CrF5_2dm-2822
SmSn5, 6.0493000000000015 , SmSn5_2dm-6056
Pb3Sb4, 8.299900000000001 , Sb4Pb3_2dm-2334
O16W4Zn4, 5.9708 , ZnWO4_2dm-5145
Te18Tl12, 8.893999999999995 , Tl2Te3_2dm-2917
P4S12Sn4, 6.873199999999994 , SnPS3_2dm-3407
Bi12S12, 11.054 , BiS_2dm-4903
Cl8Sc5, 6.763699999999996 , Sc5Cl8_2dm-4448
Bi2O6TiZn, 8.852700000000002 , TiZn(BiO3)2_2dm-3047
Al4C5Zr2, 4.5861 , Zr2Al4C5_2dm-4277
I6Np2, 6.728999999999997 , NpI3_2dm-5035
PrS3, 6.087899999999993 , PrS3_2dm-4681
Bi2O8Re2, 8.010100000000001 , ReBiO4_2dm-3698
I4O12Sr2, 6.1019000000000005 , Sr(IO3)2_2dm-5380
Pd2S2, 3.9196999999999975 , PdS_2dm-198
Br8S18V8, 8.5546 , V4S9Br4_2dm-5788
Ho2Se6, 6.400500000000001 , HoSe3_2dm-6123
Cr2Hg2O12Pb4, 8.122900000000003 , CrHg(PbO3)2_2dm-5332
BeCl2, 5.592599999999997 , BeCl2_2dm-91
O14S2Te4, 6.625900000000001 , Te2SO7_2dm-4851
B2S5, 6.013399999999994 , B2S5_2dm-1236
F12Pa2Rb2, 6.827699999999997 , RbPaF6_2dm-3647
AsSr2, 4.283899999999997 , Sr2As_2dm-2293
Nb3S6, 6.165399999999998 , NbS2_2dm-364
Ga2O, 3.664799999999999 , Ga2O_2dm-633
Cl2F2Sn2, 6.0564 , SnClF_2dm-5132
Br6Cr2, 6.615200000000004 , CrBr3_2dm-3768
Ca2Zn, 3.5856999999999983 , Ca2Zn_2dm-946
AuTe2, 6.954999999999992 , Te2Au_2dm-3587
F2Y, 5.885199999999997 , YF2_2dm-1150
Fe6P24, 6.4087999999999905 , FeP4_2dm-5734
Ge12Rh4, 2.8599999999999977 , Ge3Rh_2dm-921
Ga2I6, 5.845299999999998 , GaI3_2dm-1079
Nb4O16Re2, 6.593499999999998 , Nb2ReO8_2dm-4975
N2S3, 6.219299999999993 , S3N2_2dm-368
Mg2Sb, 3.245600000000002 , Mg2Sb_2dm-46
BMg6O7Rb, 3.876900000000004 , RbMg6BO7_2dm-3027
Ca2H10O12P2, 3.7921000000000014 , CaPH5O6_2dm-5877
F2N2Sn, 6.143199999999999 , Sn(NF)2_2dm-3360
Fe2Li2O8Si2, 5.756199999999999 , LiFeSiO4_2dm-4984
